               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,             0.06943,            0.017103,           0.0055936,             0.49731,             0.63636,             0.54788,             0.18933,            0.074232,           0.0077305,           0.0045346,           0.0078418,           0.0078418,           0.0078418
                 111,            0.069314,            0.017631,           0.0059179,             0.55179,             0.45455,             0.43635,             0.17993,            0.074693,           0.0075753,           0.0042431,            0.007822,            0.007822,            0.007822
                 112,            0.073724,            0.014433,           0.0052928,             0.55179,             0.45455,             0.43635,             0.17993,            0.074693,           0.0075753,           0.0042431,           0.0078022,           0.0078022,           0.0078022
                 113,            0.072406,            0.016646,            0.005662,             0.55179,             0.45455,             0.43635,             0.17993,            0.074693,           0.0075753,           0.0042431,           0.0077824,           0.0077824,           0.0077824
                 114,             0.07191,            0.013431,           0.0054024,             0.55179,             0.45455,             0.43635,             0.17993,            0.074693,           0.0075753,           0.0042431,           0.0077626,           0.0077626,           0.0077626
                 115,            0.072237,            0.016479,           0.0055473,             0.40865,             0.36364,             0.28407,             0.10996,            0.086189,           0.0071665,           0.0039948,           0.0077428,           0.0077428,           0.0077428
                 116,            0.077449,            0.014593,           0.0053447,             0.40865,             0.36364,             0.28407,             0.10996,            0.086189,           0.0071665,           0.0039948,            0.007723,            0.007723,            0.007723
                 117,            0.077761,            0.013974,           0.0054853,             0.40865,             0.36364,             0.28407,             0.10996,            0.086189,           0.0071665,           0.0039948,           0.0077032,           0.0077032,           0.0077032
                 118,            0.076033,            0.016745,           0.0055397,             0.40865,             0.36364,             0.28407,             0.10996,            0.086189,           0.0071665,           0.0039948,           0.0076834,           0.0076834,           0.0076834
                 119,             0.07891,            0.015896,           0.0057081,             0.42758,             0.54545,             0.50554,             0.22928,            0.072707,           0.0073515,           0.0039272,           0.0076636,           0.0076636,           0.0076636
                 120,            0.069998,            0.015458,           0.0054967,             0.42758,             0.54545,             0.50554,             0.22928,            0.072707,           0.0073515,           0.0039272,           0.0076438,           0.0076438,           0.0076438
                 121,            0.064401,            0.014589,           0.0050639,             0.42758,             0.54545,             0.50554,             0.22928,            0.072707,           0.0073515,           0.0039272,            0.007624,            0.007624,            0.007624
                 122,            0.063403,            0.015365,           0.0051638,             0.42758,             0.54545,             0.50554,             0.22928,            0.072707,           0.0073515,           0.0039272,           0.0076042,           0.0076042,           0.0076042
                 123,            0.066552,            0.015083,           0.0055425,             0.46142,             0.40909,             0.46882,             0.27687,            0.076767,           0.0074811,            0.003924,           0.0075844,           0.0075844,           0.0075844
                 124,            0.070653,            0.014182,            0.005016,             0.46142,             0.40909,             0.46882,             0.27687,            0.076767,           0.0074811,            0.003924,           0.0075646,           0.0075646,           0.0075646
                 125,            0.070586,            0.014133,           0.0051799,             0.46142,             0.40909,             0.46882,             0.27687,            0.076767,           0.0074811,            0.003924,           0.0075448,           0.0075448,           0.0075448
                 126,            0.071731,            0.016444,           0.0053535,             0.46142,             0.40909,             0.46882,             0.27687,            0.076767,           0.0074811,            0.003924,            0.007525,            0.007525,            0.007525
